Date & Time,Total Energy Demand
2015-06-07,3934.179522205
2015-06-14,173.59946553700001
2015-06-21,171.814515621
2015-06-28,151.666813364
2015-07-05,198.901973328
2015-07-12,186.664376643
2015-07-19,185.733450041
2015-07-26,190.535463324
2015-08-02,200.61962446
2015-08-09,205.108749953
2015-08-16,179.798067827
2015-08-23,131.957042229
2015-08-30,190.589611059
2015-09-06,214.843513327
2015-09-13,231.103007789
2015-09-20,207.209172242
2015-09-27,209.752155565
2015-10-04,248.083586675
2015-10-11,228.824402192
2015-10-18,207.104845563
2015-10-25,204.711915544
2015-11-01,200.603065557
2015-11-08,217.033481123
2015-11-15,211.265789919
2015-11-22,220.833483329
2015-11-29,311.13070668
2015-12-06,312.455076594
2015-12-13,313.770121154
2015-12-20,317.191717811
2015-12-27,184.138692204
2016-01-03,285.309146687
2016-01-10,211.461581107
2016-01-17,219.038013305
2016-01-24,2613.169269297
2016-01-31,3199.829034277
2016-02-07,3124.54816751
2016-02-14,3046.220817535
2016-02-21,3332.357867241
2016-02-28,2985.177084273
2016-03-06,3119.077734219
2016-03-13,2983.537333589
2016-03-20,2680.254517635
2016-03-27,2946.55985037
2016-04-03,2584.48915007
2016-04-10,3154.121083385
2016-04-17,3105.688467045
2016-04-24,3066.54431685
2016-05-01,3039.350483826
2016-05-08,2876.653250498
2016-05-15,3113.328300164
2016-05-22,3138.706733883
2016-05-29,3489.9114671
2016-06-05,3237.053967028
2016-06-12,2958.218166872
2016-06-19,2819.242250112
2016-06-26,2588.239900101
2016-07-03,1717.942300008
2016-07-10,2944.191800151
2016-07-17,3249.090783878
2016-07-24,2930.126766878
2016-07-31,3140.81271723
2016-08-07,3378.811984169
2016-08-14,3459.923634237
2016-08-21,2723.451984633
2016-08-28,1848.555583793
2016-09-04,3274.646434207
2016-09-11,3221.692251001
2016-09-18,3628.843000559
2016-09-25,3110.807917157
2016-10-02,2947.903333591
2016-10-09,3242.391850043
2016-10-16,3092.628750245
2016-10-23,3196.607166669
2016-10-30,3067.386300121
2016-11-06,3245.091816585
2016-11-13,3147.0129674
2016-11-20,2888.564750746
2016-11-27,5384.224117358
2016-12-04,4941.401616868
