Date & Time,Total Energy Demand
2016-01-03,160.767082232
2016-01-10,211.461581107
2016-01-17,219.038013305
2016-01-24,2613.169269297
2016-01-31,3199.829034277
2016-02-07,3124.54816751
2016-02-14,3046.220817535
2016-02-21,3332.357867241
2016-02-28,2985.177084273
2016-03-06,3119.077734219
2016-03-13,2983.537333589
2016-03-20,2680.254517635
2016-03-27,2946.55985037
2016-04-03,2584.48915007
2016-04-10,3154.121083385
2016-04-17,3105.688467045
2016-04-24,3066.54431685
2016-05-01,3039.350483826
2016-05-08,2876.653250498
2016-05-15,3113.328300164
2016-05-22,3138.706733883
2016-05-29,3489.9114671
2016-06-05,3237.053967028
2016-06-12,2958.218166872
2016-06-19,2819.242250112
2016-06-26,2588.239900101
2016-07-03,1717.942300008
2016-07-10,2944.191800151
2016-07-17,3249.090783878
2016-07-24,2930.126766878
2016-07-31,3140.81271723
2016-08-07,3378.811984169
2016-08-14,3459.923634237
2016-08-21,2723.451984633
2016-08-28,1848.555583793
2016-09-04,3274.646434207
2016-09-11,3221.692251001
2016-09-18,3628.843000559
2016-09-25,3110.807917157
2016-10-02,2947.903333591
2016-10-09,3242.391850043
2016-10-16,3092.628750245
2016-10-23,3196.607166669
2016-10-30,3067.386300121
2016-11-06,3245.091816585
2016-11-13,3147.0129674
2016-11-20,2888.564750746
2016-11-27,5384.224117358
2016-12-04,4941.401616868
